For 0047               02 40 23.65 -34 42 34.2 18.98  1.52   56.9  0.5  0.55 0.02  0.74 0.04 0.992 1
For 0048               02 40 20.69 -34 29 56.5 19.25  1.41   84.4  0.3  0.48 0.02  0.65 0.04 0.961 1
For 0049               02 40 22.79 -34 30 14.8 19.19  1.30   42.0  0.4  0.45 0.02  0.54 0.04 0.992 1
For 0050               02 40 24.18 -34 30 28.6 19.52  1.33   68.1  0.5  0.52 0.03  0.57 0.07 0.994 1
For 0051               02 40 16.19 -34 32 55.3 19.18  1.26   51.3  0.5  0.54 0.03  0.76 0.04 0.994 1
For 0052               02 40 17.03 -34 33 31.1 18.99  1.09   51.1  0.8  0.36 0.02  0.39 0.05 0.988 1
For 0053               02 40 21.94 -34 34 54.0 19.25  1.20   72.5  0.4  0.51 0.02  0.60 0.05 0.989 1
For 0054               02 40 22.09 -34 36  1.9 19.04  1.21   60.9  0.4  0.53 0.03  0.64 0.05 0.995 1
For 0055               02 40 24.73 -34 29 37.2 19.36  1.10   52.5  0.6  0.47 0.04  0.60 0.08 0.996 1
For 0056               02 40 25.43 -34 30 55.2 19.11  1.07   48.7  0.5  0.39 0.02  0.39 0.05 0.988 1
For 0057               02 40 27.22 -34 32 24.0 19.38  1.17   50.0  0.6  0.52 0.03  0.61 0.07 0.995 1
For 0058               02 40 26.50 -34 34 37.4 19.11  1.14   45.9  0.4  0.45 0.03  0.50 0.05 0.992 1
For 0059               02 40 25.47 -34 34 59.4 19.02  1.17   73.2  0.4  0.55 0.02  0.57 0.05 0.988 1
For 0060               02 40 31.98 -34 35 59.9 19.24  1.12   55.5  0.4  0.55 0.02  0.72 0.04 0.994 1
For 0061               02 40 35.36 -34 42 37.5 21.07  0.86   46.7  3.6  0.49 0.11  0.67 0.14 0.991 1
For 0062               02 40 32.17 -34 42 38.5 20.48  1.06   50.3  1.1  0.43 0.06  0.57 0.10 0.993 1
For 0063               02 40 33.10 -34 41 53.8 18.61  1.45   77.8  0.5  0.51 0.02  0.68 0.05 0.974 1
For 0064               02 40 30.23 -34 39 44.6 19.00  1.19   52.8  0.4  0.56 0.02  0.63 0.05 0.995 1
For 0065               02 40 27.32 -34 39  8.5 19.29  1.27   64.5  0.5  0.52 0.03  0.60 0.06 0.994 1
For 0066               02 40 31.28 -34 42 55.5 21.14  0.85   62.2  5.2  0.52 0.10  0.27 0.19 0.981 1
For 0067               02 40 30.47 -34 42 41.5 21.14  1.13   58.4  2.7  0.47 0.10  0.45 0.18 0.990 1
For 0068               02 40 30.32 -34 42 18.6 20.00  1.27   50.8  2.3  0.44 0.05  0.26 0.13 0.971 1
