Sex 0046               10 12 58.84 -01 28 25.8 19.82  1.00  227.3  0.8  0.39 0.02  0.39 0.05 0.999 1
Sex 0047               10 12 59.49 -01 28  3.4 19.55  0.93  217.9  1.6  0.34 0.02  0.38 0.05 0.999 1
Sex 0048               10 12 52.40 -01 35  7.3 20.31  0.98  220.7  2.2  0.32 0.04  0.38 0.08 1.000 1
Sex 0049               10 12 53.33 -01 34 40.6 19.45  1.01  229.9  1.1  0.38 0.02  0.30 0.06 1.000 1
Sex 0050               10 12 46.57 -01 23 47.6 18.51  1.03  212.5  0.5  0.31 0.01  0.35 0.03 0.998 1
Sex 0051               10 12 48.47 -01 23 56.8 17.69  1.23   -7.5  1.0  0.37 0.01  0.86 0.02 0.000 1
Sex 0052               10 12 46.44 -01 24 31.9 19.04  1.01  221.0  2.1  0.37 0.04  0.42 0.09 0.998 1
Sex 0053               10 12 54.83 -01 24 30.9 19.32  0.83  147.0  0.5  0.32 0.02  0.85 0.03 0.000 1
Sex 0054               10 13  1.44 -01 23 43.9 19.74  1.12    3.7  1.1  0.35 0.03  0.88 0.04 0.000 1
Sex 0055               10 13  0.60 -01 25 47.0 17.67  1.12  109.7  0.7  0.30 0.01  0.88 0.01 0.000 1
Sex 0056               10 12 45.62 -01 35 46.1 20.09  0.95  231.5  1.3  0.35 0.02  0.34 0.06 0.999 1
Sex 0057               10 12 45.21 -01 33 34.8 17.84  0.76   44.5  0.3  0.32 0.01  0.78 0.02 0.000 1
Sex 0058               10 12 46.81 -01 31 58.1 19.31  1.03  223.4  0.7  0.39 0.02  0.41 0.04 0.999 1
Sex 0059               10 12 46.35 -01 30 15.3 18.25  1.18   23.6  1.0  0.30 0.02  0.91 0.03 0.000 1
Sex 0060               10 12 47.99 -01 29 38.7 18.98  0.94  222.8  1.9  0.34 0.02  0.36 0.05 0.999 1
Sex 0061               10 12 43.35 -01 32  5.1 17.91  1.23   56.3  0.7  0.37 0.01  0.93 0.02 0.000 1
Sex 0062               10 12 40.91 -01 32  1.2 19.28  0.97  215.4  0.9  0.39 0.02  0.36 0.04 0.999 1
Sex 0063               10 12 42.83 -01 30  8.3 18.99  0.98  212.8  3.1  0.24 0.05  0.47 0.10 0.992 1
Sex 0064               10 12 43.90 -01 28 32.6 17.34  1.27   23.4  1.5  0.39 0.02  0.88 0.03 0.000 1
Sex 0065               10 12 32.95 -01 19 14.1  0.00  0.00   12.0  3.1  0.35 0.04  0.69 0.06 0.000 0
Sex 0066               10 12 35.07 -01 23 47.3 19.50  0.96  241.1  4.3  0.29 0.06  0.51 0.10 0.957 1
Sex 0067               10 12 33.29 -01 32 22.8 19.28  0.98  244.4  2.3  0.33 0.04  0.31 0.10 0.987 1
Sex 0068               10 12 32.68 -01 32  8.8 19.82  0.90  131.0  0.6  0.37 0.02  0.86 0.03 0.000 1
Sex 0069               10 12 33.88 -01 31 59.0 20.14  0.94  228.1  2.2  0.33 0.03  0.28 0.06 0.999 1
Sex 0070               10 12 29.66 -01 35 36.2 20.12  0.79  129.1  1.6  0.26 0.03  0.52 0.05 0.000 1
Sex 0071               10 12 29.94 -01 34 31.8 19.41  0.99  204.2  4.2  0.28 0.04  0.37 0.08 0.987 1
Sex 0072               10 12 25.56 -01 33 26.9 18.93  0.55  287.3  4.9  0.28 0.02  0.29 0.05 0.000 1
Sex 0073               10 12 25.93 -01 32 38.8 19.25  1.02  230.2  1.5  0.32 0.03  0.40 0.06 0.999 1
Sex 0074               10 12 15.86 -01 27 25.1  0.00  0.00  230.6  1.3  0.36 0.04  0.42 0.10 0.997 0
Sex 0075               10 12 25.23 -01 22 25.8  0.00  0.00  220.2  0.6  0.41 0.02  0.31 0.05 0.999 0
Sex 0076               10 13 18.32 -01 29 31.6 18.06  1.21  224.5  0.4  0.44 0.01  0.43 0.02 0.998 1
Sex 0077               10 12 48.61 -01 30 16.1 18.12  0.85  133.8  0.8  0.35 0.01  0.79 0.05 0.000 1
