17 20 30.95 +57 29 59.1 2455710.840   6.1 -164.5   0.6    0.0     3.0 5258   79  -0.0   3.0  5.1 0.2   0.1   2.9 -0.28 0.09  -0.1   3.0
17 20 55.52 +57 44 34.4 2455331.743   4.3 -302.1   1.2   -0.1     2.9 4922  325   0.6   3.8  1.6 0.6   0.6   2.9 -2.28 0.37   0.3   3.0
17 20 41.50 +57 47 56.8 2455331.842   5.3 -288.2   0.9    0.1     3.0 5443  303   0.5   3.6  2.6 0.7  -0.4   2.9 -1.58 0.33   0.1   3.0
17 20 41.50 +57 47 56.8 2455706.766   9.1 -288.0   0.9   -0.0     3.2 4881  208   0.4   3.5  1.2 0.4   0.7   3.0 -2.55 0.25   0.3   3.3
17 21 35.28 +57 35 24.5 2453850.781  13.6 -116.4   0.6   -0.1     2.9 5252  130   0.2   3.1  2.8 0.2   0.0   3.3 -1.83 0.15  -0.0   3.0
17 21 35.28 +57 35 24.5 2454168.899  14.4 -117.7   0.5   -0.2     3.1 5004   69   0.1   3.0  2.2 0.1  -0.0   3.0 -1.55 0.08   0.0   3.0
17 21 03.69 +57 39 54.2 2455331.842   2.9 -292.3   1.6   -0.1     3.1 5536  714   0.8   3.6  3.3 1.2  -0.1   2.3 -1.90 0.68   0.3   2.8
17 21 03.69 +57 39 54.2 2455590.988   1.4 -292.8   2.3   -0.2     3.4 5196  656   1.3   4.6  2.0 1.1   1.0   3.6 -1.30 0.71   0.7   3.2
17 21 03.69 +57 39 54.2 2455706.844   4.4 -290.3   1.3    0.1     3.1 5140  518   0.9   3.9  3.0 1.0   0.3   2.7 -2.30 0.56   0.5   2.9
17 21 03.69 +57 39 54.2 2455706.920   3.8 -288.1   1.5   -0.0     2.9 4771  270   0.7   3.6  2.1 0.7   0.2   2.8 -2.38 0.33   0.4   3.1
17 21 03.69 +57 39 54.2 2455707.914   3.7 -291.0   1.2    0.1     2.9 4918  294   0.4   3.5  2.1 0.7   0.1   2.5 -2.22 0.35   0.3   3.0
17 21 03.69 +57 39 54.2 2455710.761   2.7 -289.6   1.2   -0.2     3.2 5035  398   0.8   4.0  2.8 1.0   0.0   2.5 -1.64 0.51   0.5   3.0
17 21 03.69 +57 39 54.2 2455712.874   2.7 -290.6   1.2    0.2     3.2 5699  580   0.8   3.8  1.8 0.8   0.7   3.3 -1.11 0.53   0.4   3.2
17 21 00.17 +57 46 37.7 2455331.842   5.4 -304.9   0.7   -0.0     3.3 4487  133   0.7   3.1  1.6 0.3  -0.1   3.1 -2.37 0.16   0.6   3.5
17 21 00.17 +57 46 37.7 2455332.914   6.2 -304.5   0.6   -0.0     3.4 4679  128  -0.1   3.1  1.4 0.3  -0.0   2.8 -2.19 0.15   0.1   3.0
17 20 42.10 +57 49 29.5 2454911.955   3.8 -305.5   0.8    0.1     3.2 4801  167   0.1   3.4  1.3 0.4   0.4   2.7 -1.82 0.20   0.1   3.1
17 20 42.10 +57 49 29.5 2454914.922   5.5 -305.6   0.7    0.3     3.3 4851  132   0.1   3.2  1.1 0.3   0.5   2.8 -1.79 0.17   0.1   3.1
17 20 42.10 +57 49 29.5 2455590.988   2.8 -305.4   1.0   -0.1     2.8 4719  211   0.3   3.0  1.3 0.4   0.7   3.2 -1.75 0.27   0.3   3.0
17 20 42.10 +57 49 29.5 2455706.920   6.0 -306.2   0.7   -0.1     3.0 5072  195   0.4   3.5  1.5 0.5   0.2   2.5 -1.86 0.23   0.2   3.1
17 22 30.80 +57 35 46.2 2455712.874   2.8 -304.4   2.2   -0.5     3.5 4796  378   1.4   6.5  2.2 1.1   0.7   2.8 -2.50 0.43   0.9   4.3
17 22 07.54 +57 43 51.9 2455332.914   2.7  -19.7   0.9    0.0     3.1 5066  144   0.1   2.9  4.8 0.4  -0.1   2.7 -0.74 0.20   0.1   3.1
17 21 39.37 +57 46 40.1 2455332.914  10.1 -307.1   0.5   -0.0     2.9 4600   94  -0.2   3.2  1.1 0.2  -0.0   2.6 -2.04 0.11   0.0   3.0
17 22 03.60 +57 45 07.2 2455331.842   5.0 -286.5   0.8    0.0     3.2 4870  162   0.1   3.3  1.4 0.4   0.1   2.7 -1.75 0.21   0.1   3.0
17 22 03.60 +57 45 07.2 2455332.783   4.3 -286.4   0.9   -0.1     2.8 4676  187   0.2   2.9  1.8 0.5  -0.1   2.9 -2.09 0.24   0.3   3.0
17 22 03.60 +57 45 07.2 2455332.914   6.3 -287.1   0.6    0.1     3.0 4668  134  -0.1   3.0  1.3 0.3   0.1   2.6 -2.10 0.16   0.1   3.0
17 22 03.60 +57 45 07.2 2455706.766   8.2 -286.5   0.6    0.1     2.8 4673  106  -0.1   3.2  1.2 0.3   0.1   2.7 -2.13 0.13   0.1   3.1
17 22 03.60 +57 45 07.2 2455707.754   8.1 -286.6   0.6    0.2     2.8 4887  117   0.3   3.2  1.2 0.4   0.3   2.6 -1.92 0.14   0.2   3.1
17 22 03.60 +57 45 07.2 2455707.914   7.2 -286.9   0.5   -0.1     3.3 4805   96   0.1   3.2  1.0 0.2   0.3   2.5 -1.78 0.12   0.1   3.1
